Player,Team,Opp,Home,Round,Game,Prediction,O/U,Line Diff,Prob,Wager,Bet ID,O/U bet,Actual,Diff,Correct,Win,Money
Devin Booker,Phoenix Suns,Denver Nuggets,1,2,2,26.0,27.5,1.5,0.6,13.96,50,0,18,-8,1,1,1707.042
Nikola Jokić,Denver Nuggets,Phoenix Suns,0,2,2,26.9,28.5,1.6,0.606,13.96,50,0,24,-2.9,1,1,1707.042
Giannis Antetokounmpo,Milwaukee Bucks,Brooklyn Nets,1,2,3,27.8,32.5,4.7,0.761,59.22,51,0,33,5.2,0,0,1647.822
Kevin Durant,Brooklyn Nets,Milwaukee Bucks,0,2,3,28.3,31.5,3.2,0.685,59.22,51,0,30,1.7,1,0,1647.822
Donovan Mitchell,Utah Jazz,Los Angeles Clippers,1,2,2,29.1,30.5,1.4,0.582,14.41,52,0,37,7.9,0,0,1633.412
Kawhi Leonard,Los Angeles Clippers,Utah Jazz,0,2,2,25.3,27.5,2.2,0.629,14.41,52,0,21,-4.3,1,0,1633.412
Trae Young,Atlanta Hawks,Philadelphia 76ers,1,2,3,26.6,27.5,0.9,0.552,20.06,53,0,28,1.4,0,0,1613.352
Joel Embiid,Philadelphia 76ers,Atlanta Hawks,0,2,3,30.5,34.5,4.0,0.721,20.06,53,0,27,-3.5,1,0,1613.352
Nikola Jokić,Denver Nuggets,Phoenix Suns,1,2,3,26.1,28.5,2.4,0.637,26.51,54,0,32,5.9,0,0,1586.842
Devin Booker,Phoenix Suns,Denver Nuggets,0,2,3,24.5,27.5,3.0,0.67,26.51,54,0,29,4.5,0,0,1586.842
Kawhi Leonard,Los Angeles Clippers,Utah Jazz,1,2,4,24.2,29.5,5.3,0.795,86.3,55,0,34,9.8,0,0,1500.542
Donovan Mitchell,Utah Jazz,Los Angeles Clippers,0,2,4,28.8,32.5,3.7,0.721,86.3,55,0,30,1.2,1,0,1500.542
Giannis Antetokounmpo,Milwaukee Bucks,Brooklyn Nets,1,2,4,28.5,32.5,4.0,0.733,61.41,56,0,34,5.5,0,0,1439.132
Kevin Durant,Brooklyn Nets,Milwaukee Bucks,0,2,4,28.8,32.5,3.7,0.718,61.41,56,0,28,-0.8,1,0,1439.132
Nikola Jokić,Denver Nuggets,Phoenix Suns,1,2,4,26.6,29.5,2.9,0.676,24.84,57,0,22,-4.6,1,0,1414.292
Devin Booker,Phoenix Suns,Denver Nuggets,0,2,4,25.6,27.5,1.9,0.621,24.84,57,0,34,8.4,0,0,1414.292
Trae Young,Atlanta Hawks,Philadelphia 76ers,1,2,4,26.3,27.5,1.2,0.582,9.7,58,0,25,-1.3,1,1,1439.512
Joel Embiid,Philadelphia 76ers,Atlanta Hawks,0,2,4,30.5,31.5,1.0,0.57,9.7,58,0,17,-13.5,1,1,1439.512
Kawhi Leonard,Los Angeles Clippers,Utah Jazz,1,2,4,25.2,29.5,4.3,0.748,44.88,59,0,31,5.8,0,0,1394.632
Donovan Mitchell,Utah Jazz,Los Angeles Clippers,0,2,4,29.1,31.5,2.4,0.65,44.88,59,0,37,7.9,0,0,1394.632
Kevin Durant,Brooklyn Nets,Milwaukee Bucks,1,2,5,30.1,34.5,4.4,0.757,66.02,60,0,49,18.9,0,0,1328.612
Giannis Antetokounmpo,Milwaukee Bucks,Brooklyn Nets,0,2,5,29.1,32.5,3.4,0.708,66.02,60,0,34,4.9,0,0,1328.612
Joel Embiid,Philadelphia 76ers,Atlanta Hawks,1,2,5,29.5,29.5,0.0,0.487,0,61,1,37,7.5,1,0,1328.612
Trae Young,Atlanta Hawks,Philadelphia 76ers,0,2,5,26.1,27.5,1.4,0.597,0,61,0,39,12.9,0,0,1328.612
Donovan Mitchell,Utah Jazz,Los Angeles Clippers,1,2,5,29.6,32.5,2.9,0.683,41.41,62,0,21,-8.6,1,0,1287.202
Paul George,Los Angeles Clippers,Utah Jazz,0,2,5,25.3,28.5,3.2,0.699,41.41,62,0,37,11.7,0,0,1287.202
Giannis Antetokounmpo,Milwaukee Bucks,Brooklyn Nets,1,2,6,29.6,34.5,4.9,0.774,40.98,63,0,30,0.4,1,1,1393.75
Kevin Durant,Brooklyn Nets,Milwaukee Bucks,0,2,6,30.6,32.5,1.9,0.615,40.98,63,0,32,1.4,1,1,1393.75
Trae Young,Atlanta Hawks,Philadelphia 76ers,1,2,6,28.2,28.5,0.3,0.532,16.7,64,0,34,5.8,0,0,1377.05
Joel Embiid,Philadelphia 76ers,Atlanta Hawks,0,2,6,30.0,33.5,3.5,0.714,16.7,64,0,22,-8,1,0,1377.05
Paul George,Los Angeles Clippers,Utah Jazz,1,2,6,26.3,31.5,5.2,0.795,124.96,65,0,28,1.7,1,0,1252.09
Donovan Mitchell,Utah Jazz,Los Angeles Clippers,0,2,6,28.4,33.5,5.1,0.791,124.96,65,0,39,10.6,0,0,1252.09
Kevin Durant,Brooklyn Nets,Milwaukee Bucks,1,2,7,30.3,36.5,6.2,0.84,180.35,66,0,48,17.7,0,0,1071.74
Giannis Antetokounmpo,Milwaukee Bucks,Brooklyn Nets,0,2,7,28.8,34.5,5.7,0.82,180.35,66,0,40,11.2,0,0,1071.74
Devin Booker,Phoenix Suns,Los Angeles Clippers,1,3,1,27.3,30.5,3.2,0.678,47.87,67,0,40,12.7,0,0,1023.87
Paul George,Los Angeles Clippers,Phoenix Suns,0,3,1,26.3,30.5,4.2,0.73,47.87,67,0,34,7.7,0,0,1023.87
Joel Embiid,Philadelphia 76ers,Atlanta Hawks,1,2,7,29.1,32.5,3.4,0.689,41.69,68,0,31,1.9,1,1,1132.264
Trae Young,Atlanta Hawks,Philadelphia 76ers,0,2,7,28.0,31.5,3.5,0.694,41.69,68,0,21,-7,1,1,1132.264
Devin Booker,Phoenix Suns,Los Angeles Clippers,1,3,2,27.7,32.5,4.8,0.762,99.47,69,0,20,-7.7,1,1,1390.886
Paul George,Los Angeles Clippers,Phoenix Suns,0,3,2,27.3,32.5,5.2,0.78,99.47,69,0,26,-1.3,1,1,1390.886
Giannis Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,1,3,1,28.6,33.5,4.9,0.772,30.64,70,0,34,5.4,0,0,1360.246
Trae Young,Atlanta Hawks,Milwaukee Bucks,0,3,1,28.4,29.5,1.1,0.573,30.64,70,0,48,19.6,0,0,1360.246
Paul George,Los Angeles Clippers,Phoenix Suns,1,3,3,26.5,31.5,5.0,0.779,39.7,71,0,27,0.5,1,1,1463.466
Devin Booker,Phoenix Suns,Los Angeles Clippers,0,3,3,26.9,28.5,1.6,0.606,39.7,71,0,15,-11.9,1,1,1463.466
Giannis Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,1,3,2,28.8,33.5,4.7,0.76,34.35,72,0,25,-3.8,1,1,1552.776
Trae Young,Atlanta Hawks,Milwaukee Bucks,0,3,2,29.9,31.5,1.6,0.599,34.35,72,0,15,-14.9,1,1,1552.776
Paul George,Los Angeles Clippers,Phoenix Suns,1,3,4,26.8,29.5,2.7,0.664,15.51,73,0,23,-3.8,1,1,1593.102
Devin Booker,Phoenix Suns,Los Angeles Clippers,0,3,4,26.6,27.5,0.9,0.562,15.51,73,0,25,-1.6,1,1,1593.102
Trae Young,Atlanta Hawks,Milwaukee Bucks,1,3,3,29.6,30.5,0.9,0.584,45.51,74,0,35,5.4,0,0,1547.592
Giannis Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,0,3,3,27.5,33.5,6.0,0.837,45.51,74,0,33,5.5,1,0,1547.592
Devin Booker,Phoenix Suns,Los Angeles Clippers,1,3,5,27.3,27.5,0.2,0.517,9.54,75,0,31,3.7,0,0,1538.052
Paul George,Los Angeles Clippers,Phoenix Suns,0,3,5,27.2,29.5,2.3,0.639,9.54,75,0,41,13.8,0,0,1538.052
Bogdan Bogdanović,Atlanta Hawks,Milwaukee Bucks,1,3,4,17.2,16.5,-0.7,0.523,20.23,76,1,20,2.8,1,1,1590.65
Giannis Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,0,3,4,28.0,32.5,4.5,0.762,20.23,76,0,14,-14,1,1,1590.65
Paul George,Los Angeles Clippers,Phoenix Suns,1,3,6,27.7,30.5,2.8,0.661,12.62,77,0,21,-6.7,1,1,1623.462
Devin Booker,Phoenix Suns,Los Angeles Clippers,0,3,6,27.9,28.5,0.6,0.536,12.62,77,0,22,-5.9,1,1,1623.462
